Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,enr,ENCINAL HIGH SCHOOL,All,
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,adm,ENCINAL HIGH SCHOOL,All,10
ENCINAL HIGH SCHOOL50015,Alameda,Alameda,app,ENCINAL HIGH SCHOOL,All,13
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,4
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,9
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,African American,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,African American,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,African American,5
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,enr,ENVISION ACAD ARTS/TECHNOLOGY,All,
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,adm,ENVISION ACAD ARTS/TECHNOLOGY,All,5
ENVISION ACAD ARTS/TECHNOLOGY54285,Oakland,Alameda,app,ENVISION ACAD ARTS/TECHNOLOGY,All,15
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,White,
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,White,18
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,White,20
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,Asian,3
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,Asian,38
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,Asian,51
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,enr,FOOTHILL HIGH SCHOOL,All,6
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,adm,FOOTHILL HIGH SCHOOL,All,60
FOOTHILL HIGH SCHOOL52497,Pleasanton,Alameda,app,FOOTHILL HIGH SCHOOL,All,78
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,White,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,White,3
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,White,6
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Asian,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Asian,9
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Asian,13
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,Hispanic/ Latino,
GRANADA HIGH SCHOOL51423,Livermore,Alameda,adm,GRANADA HIGH SCHOOL,Hispanic/ Latino,3
GRANADA HIGH SCHOOL51423,Livermore,Alameda,app,GRANADA HIGH SCHOOL,Hispanic/ Latino,5
GRANADA HIGH SCHOOL51423,Livermore,Alameda,enr,GRANADA HIGH SCHOOL,All,
