Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,African American,
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,African American,3
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,African American,6
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,enr,HAYWARD HIGH SCHOOL,All,3
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,adm,HAYWARD HIGH SCHOOL,All,14
HAYWARD HIGH SCHOOL51150,Hayward,Alameda,app,HAYWARD HIGH SCHOOL,All,24
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,enr,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,7
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,adm,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,15
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,app,IMPACT ACAD ARTS/TECHNOLOGY,Hispanic/ Latino,26
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,enr,IMPACT ACAD ARTS/TECHNOLOGY,All,10
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,adm,IMPACT ACAD ARTS/TECHNOLOGY,All,23
IMPACT ACAD ARTS/TECHNOLOGY54255,Hayward,Alameda,app,IMPACT ACAD ARTS/TECHNOLOGY,All,37
IRVINGTON HIGH SCHOOL50968,Fremont,Alameda,enr,IRVINGTON HIGH SCHOOL,Inter- national,
