Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,Hispanic/ Latino,42
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,African American,
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,African American,4
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,African American,31
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,enr,BERKELEY HIGH SCHOOL,All,19
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,adm,BERKELEY HIGH SCHOOL,All,118
BERKELEY HIGH SCHOOL50290,Berkeley,Alameda,app,BERKELEY HIGH SCHOOL,All,288
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,enr,CASTLEMONT HIGH SCHOOL,Hispanic/ Latino,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,adm,CASTLEMONT HIGH SCHOOL,Hispanic/ Latino,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,app,CASTLEMONT HIGH SCHOOL,Hispanic/ Latino,5
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,enr,CASTLEMONT HIGH SCHOOL,African American,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,adm,CASTLEMONT HIGH SCHOOL,African American,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,app,CASTLEMONT HIGH SCHOOL,African American,6
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,enr,CASTLEMONT HIGH SCHOOL,All,
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,adm,CASTLEMONT HIGH SCHOOL,All,3
CASTLEMONT HIGH SCHOOL54611,Oakland,Alameda,app,CASTLEMONT HIGH SCHOOL,All,13
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,White,3
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,White,9
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,White,33
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,Asian,10
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,adm,CASTRO VALLEY HIGH SCHOOL,Asian,23
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,app,CASTRO VALLEY HIGH SCHOOL,Asian,95
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,Alameda,enr,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,
