Calculation1,City,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values,Zipcode
MOUNT EDEN HIGH SCHOOL51153,Hayward,app,MOUNT EDEN HIGH SCHOOL,Asian,32,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,enr,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,adm,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,app,MOUNT EDEN HIGH SCHOOL,Hispanic/ Latino,15,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,enr,MOUNT EDEN HIGH SCHOOL,African American,,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,adm,MOUNT EDEN HIGH SCHOOL,African American,,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,app,MOUNT EDEN HIGH SCHOOL,African American,6,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,enr,MOUNT EDEN HIGH SCHOOL,All,3,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,adm,MOUNT EDEN HIGH SCHOOL,All,6,94545
MOUNT EDEN HIGH SCHOOL51153,Hayward,app,MOUNT EDEN HIGH SCHOOL,All,59,94545
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,enr,CASTRO VALLEY HIGH SCHOOL,White,,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,adm,CASTRO VALLEY HIGH SCHOOL,White,,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,app,CASTRO VALLEY HIGH SCHOOL,White,27,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,enr,CASTRO VALLEY HIGH SCHOOL,Asian,5,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,adm,CASTRO VALLEY HIGH SCHOOL,Asian,9,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,app,CASTRO VALLEY HIGH SCHOOL,Asian,71,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,enr,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,3,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,adm,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,3,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,app,CASTRO VALLEY HIGH SCHOOL,Hispanic/ Latino,23,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,enr,CASTRO VALLEY HIGH SCHOOL,African American,,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,adm,CASTRO VALLEY HIGH SCHOOL,African American,,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,app,CASTRO VALLEY HIGH SCHOOL,African American,9,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,enr,CASTRO VALLEY HIGH SCHOOL,All,11,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,adm,CASTRO VALLEY HIGH SCHOOL,All,15,94546
CASTRO VALLEY HIGH SCHOOL50500,Castro Valley,app,CASTRO VALLEY HIGH SCHOOL,All,135,94546
GRANADA HIGH SCHOOL51423,Livermore,enr,GRANADA HIGH SCHOOL,White,,94550
GRANADA HIGH SCHOOL51423,Livermore,adm,GRANADA HIGH SCHOOL,White,4,94550
GRANADA HIGH SCHOOL51423,Livermore,app,GRANADA HIGH SCHOOL,White,38,94550
GRANADA HIGH SCHOOL51423,Livermore,enr,GRANADA HIGH SCHOOL,Asian,,94550
GRANADA HIGH SCHOOL51423,Livermore,adm,GRANADA HIGH SCHOOL,Asian,,94550
GRANADA HIGH SCHOOL51423,Livermore,app,GRANADA HIGH SCHOOL,Asian,19,94550
GRANADA HIGH SCHOOL51423,Livermore,enr,GRANADA HIGH SCHOOL,Hispanic/ Latino,,94550
GRANADA HIGH SCHOOL51423,Livermore,adm,GRANADA HIGH SCHOOL,Hispanic/ Latino,,94550
GRANADA HIGH SCHOOL51423,Livermore,app,GRANADA HIGH SCHOOL,Hispanic/ Latino,10,94550
GRANADA HIGH SCHOOL51423,Livermore,enr,GRANADA HIGH SCHOOL,All,4,94550
GRANADA HIGH SCHOOL51423,Livermore,adm,GRANADA HIGH SCHOOL,All,7,94550
GRANADA HIGH SCHOOL51423,Livermore,app,GRANADA HIGH SCHOOL,All,70,94550
LIVERMORE HIGH SCHOOL51425,Livermore,enr,LIVERMORE HIGH SCHOOL,White,,94550
LIVERMORE HIGH SCHOOL51425,Livermore,adm,LIVERMORE HIGH SCHOOL,White,,94550
LIVERMORE HIGH SCHOOL51425,Livermore,app,LIVERMORE HIGH SCHOOL,White,20,94550
LIVERMORE HIGH SCHOOL51425,Livermore,enr,LIVERMORE HIGH SCHOOL,Asian,3,94550
LIVERMORE HIGH SCHOOL51425,Livermore,adm,LIVERMORE HIGH SCHOOL,Asian,3,94550
LIVERMORE HIGH SCHOOL51425,Livermore,app,LIVERMORE HIGH SCHOOL,Asian,16,94550
LIVERMORE HIGH SCHOOL51425,Livermore,enr,LIVERMORE HIGH SCHOOL,All,3,94550
LIVERMORE HIGH SCHOOL51425,Livermore,adm,LIVERMORE HIGH SCHOOL,All,5,94550
LIVERMORE HIGH SCHOOL51425,Livermore,app,LIVERMORE HIGH SCHOOL,All,39,94550
LIVERMORE VALLEY CHARTER PREP51541,Livermore,enr,LIVERMORE VALLEY CHARTER PREP,White,,94551
LIVERMORE VALLEY CHARTER PREP51541,Livermore,adm,LIVERMORE VALLEY CHARTER PREP,White,,94551
LIVERMORE VALLEY CHARTER PREP51541,Livermore,app,LIVERMORE VALLEY CHARTER PREP,White,6,94551
LIVERMORE VALLEY CHARTER PREP51541,Livermore,enr,LIVERMORE VALLEY CHARTER PREP,All,,94551
LIVERMORE VALLEY CHARTER PREP51541,Livermore,adm,LIVERMORE VALLEY CHARTER PREP,All,,94551
