Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Asian,120
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,4
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,4
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,Hispanic/ Latino,12
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,enr,AMADOR VALLEY HIGH SCHOOL,All,33
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,adm,AMADOR VALLEY HIGH SCHOOL,All,54
AMADOR VALLEY HIGH SCHOOL52495,Pleasanton,Alameda,app,AMADOR VALLEY HIGH SCHOOL,All,202
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,Domestic Unknown,
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,adm,DUBLIN HIGH SCHOOL,Domestic Unknown,3
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,app,DUBLIN HIGH SCHOOL,Domestic Unknown,8
DUBLIN HIGH SCHOOL50784,Dublin,Alameda,enr,DUBLIN HIGH SCHOOL,White,
